Date,arkk,tgt,unh
2015-04-13 16:00:00,21.53,82.96,119.37
2015-04-14 16:00:00,21.39,83.06,119.92
2015-04-15 16:00:00,21.6,81.96,117.32
2015-04-16 16:00:00,21.84,81.92,121.6
2015-04-17 16:00:00,21.4,80.02,118.71
2015-04-20 16:00:00,21.5,80.93,118.58
2015-04-21 16:00:00,21.59,81.25,119.28
2015-04-22 16:00:00,21.76,81.34,117.81
2015-04-23 16:00:00,21.99,81.93,118.26
2015-04-24 16:00:00,21.99,82.7,118.69
2015-04-27 16:00:00,22.23,81.38,116.24
2015-04-28 16:00:00,21.73,81.51,117.59
2015-04-29 16:00:00,21.55,78.87,113.61
2015-04-30 16:00:00,20.96,78.83,111.4
2015-05-01 16:00:00,20.79,79.65,113.2
2015-05-04 16:00:00,21.01,80.18,114.56
2015-05-05 16:00:00,20.77,78.97,113.37
2015-05-06 16:00:00,20.64,79.12,113.49
2015-05-07 16:00:00,20.86,80.11,114.76
2015-05-08 16:00:00,20.84,80.74,115.68
2015-05-11 16:00:00,21.0,80.61,114.77
2015-05-12 16:00:00,20.9,80.81,114.64
2015-05-13 16:00:00,21.01,79.81,115.86
2015-05-14 16:00:00,21.18,77.26,118.53
2015-05-15 16:00:00,21.13,78.53,119.33
2015-05-18 16:00:00,21.25,78.36,119.8
2015-05-19 16:00:00,21.26,77.92,120.55
2015-05-20 16:00:00,21.22,78.18,121.24
2015-05-21 16:00:00,21.41,79.39,120.46
2015-05-22 16:00:00,21.46,79.29,119.59
2015-05-26 16:00:00,21.31,79.08,118.24
2015-05-27 16:00:00,21.32,80.3,119.45
2015-05-28 16:00:00,21.58,80.05,119.62
2015-05-29 16:00:00,21.6,79.32,120.21
2015-06-01 16:00:00,21.52,79.51,119.86
2015-06-02 16:00:00,21.56,80.0,117.75
2015-06-03 16:00:00,21.68,80.34,118.35
2015-06-04 16:00:00,21.6,79.96,116.65
2015-06-05 16:00:00,21.63,79.2,116.53
2015-06-08 16:00:00,21.6,78.89,116.91
2015-06-09 16:00:00,21.46,78.9,116.99
2015-06-10 16:00:00,21.85,79.67,118.55
2015-06-11 16:00:00,21.78,80.07,119.32
2015-06-12 16:00:00,21.65,79.47,117.65
2015-06-15 16:00:00,21.37,80.45,118.98
2015-06-16 16:00:00,21.62,80.97,121.55
2015-06-17 16:00:00,21.83,82.1,119.74
2015-06-18 16:00:00,22.05,83.19,120.89
2015-06-19 16:00:00,22.0,83.35,120.33
2015-06-22 16:00:00,22.05,84.23,120.25
2015-06-23 16:00:00,22.23,84.76,122.74
2015-06-24 16:00:00,21.94,84.34,119.17
2015-06-25 16:00:00,21.9,84.5,122.33
2015-06-26 16:00:00,21.74,84.08,123.25
2015-06-29 16:00:00,21.16,82.09,121.19
2015-06-30 16:00:00,21.35,81.63,122.0
2015-07-01 16:00:00,21.31,82.99,123.38
2015-07-02 16:00:00,21.25,82.27,121.81
2015-07-06 16:00:00,21.1,82.93,122.16
2015-07-07 16:00:00,20.98,84.45,120.7
2015-07-08 16:00:00,20.78,83.48,118.78
2015-07-09 16:00:00,20.95,83.04,119.34
2015-07-10 16:00:00,21.17,83.91,122.15
2015-07-13 16:00:00,21.44,84.1,122.45
2015-07-14 16:00:00,21.57,84.1,125.0
2015-07-15 16:00:00,21.42,84.46,125.86
2015-07-16 16:00:00,21.85,85.01,124.93
2015-07-17 16:00:00,21.92,84.69,123.85
2015-07-20 16:00:00,21.95,84.23,122.65
2015-07-21 16:00:00,21.87,82.28,120.86
2015-07-22 16:00:00,21.65,82.82,120.61
2015-07-23 16:00:00,21.8,81.65,119.33
2015-07-24 16:00:00,21.9,80.21,117.94
2015-07-27 16:00:00,21.65,79.49,117.88
2015-07-28 16:00:00,21.97,80.53,121.52
2015-07-29 16:00:00,21.82,81.84,121.52
2015-07-30 16:00:00,21.65,81.93,120.56
2015-07-31 16:00:00,21.5,81.85,121.4
2015-08-03 16:00:00,21.11,80.39,120.89
2015-08-04 16:00:00,21.05,80.05,120.84
2015-08-05 16:00:00,21.1,80.04,123.92
2015-08-06 16:00:00,20.8,79.54,122.04
2015-08-07 16:00:00,20.78,78.98,121.82
2015-08-10 16:00:00,21.28,78.97,122.48
2015-08-11 16:00:00,21.0,78.87,122.26
2015-08-12 16:00:00,20.8,79.0,121.2
2015-08-13 16:00:00,20.99,78.99,120.52
2015-08-14 16:00:00,20.96,79.35,121.02
2015-08-17 16:00:00,21.12,78.98,123.82
2015-08-18 16:00:00,20.98,80.3,125.5
2015-08-19 16:00:00,20.75,80.87,123.22
2015-08-20 16:00:00,19.89,80.66,119.79
2015-08-21 16:00:00,19.53,78.4,116.28
2015-08-24 16:00:00,18.96,75.28,110.43
2015-08-25 16:00:00,19.38,73.94,109.98
2015-08-26 16:00:00,19.45,76.84,113.46
2015-08-27 16:00:00,20.04,77.85,117.77
2015-08-28 16:00:00,20.24,78.03,117.28
2015-08-31 16:00:00,20.1,77.71,115.7
2015-09-01 16:00:00,19.37,75.39,112.63
2015-09-02 16:00:00,19.59,77.05,114.23
2015-09-03 16:00:00,19.81,77.45,113.99
2015-09-04 16:00:00,19.42,76.42,112.36
2015-09-08 16:00:00,20.02,78.38,116.09
2015-09-09 16:00:00,20.09,77.16,115.08
2015-09-10 16:00:00,20.01,77.07,116.77
2015-09-11 16:00:00,20.11,77.88,118.7
2015-09-14 16:00:00,20.07,77.15,117.8
2015-09-15 16:00:00,20.33,77.82,120.03
2015-09-16 16:00:00,20.57,78.5,121.15
2015-09-17 16:00:00,20.75,78.01,123.26
2015-09-18 16:00:00,20.43,76.62,122.47
2015-09-21 16:00:00,20.3,78.26,123.94
2015-09-22 16:00:00,19.88,78.05,122.93
2015-09-23 16:00:00,19.84,78.76,123.28
2015-09-24 16:00:00,19.61,79.06,121.09
2015-09-25 16:00:00,19.4,79.05,116.37
2015-09-28 16:00:00,19.0,77.67,112.7
2015-09-29 16:00:00,18.69,77.98,114.22
2015-09-30 16:00:00,18.79,78.66,116.01
2015-10-01 16:00:00,18.53,79.51,116.61
2015-10-02 16:00:00,19.08,79.53,118.83
2015-10-05 16:00:00,19.52,79.51,119.65
2015-10-06 16:00:00,19.23,78.1,116.05
2015-10-07 16:00:00,19.51,78.56,116.43
2015-10-08 16:00:00,19.39,78.69,116.08
2015-10-09 16:00:00,19.82,78.88,119.27
2015-10-12 16:00:00,19.67,79.21,122.51
2015-10-13 16:00:00,19.6,78.96,123.99
2015-10-14 16:00:00,19.5,76.2,122.07
2015-10-15 16:00:00,19.52,75.13,120.17
2015-10-16 16:00:00,19.81,75.05,119.98
2015-10-19 16:00:00,19.81,74.7,120.73
2015-10-20 16:00:00,19.5,74.4,120.42
2015-10-21 16:00:00,19.66,76.4,118.11
2015-10-22 16:00:00,19.45,77.11,113.81
2015-10-23 16:00:00,19.81,72.94,115.92
2015-10-26 16:00:00,19.78,74.02,116.53
2015-10-27 16:00:00,19.61,74.73,119.37
2015-10-28 16:00:00,19.82,76.23,119.78
2015-10-29 16:00:00,19.72,76.28,119.71
2015-10-30 16:00:00,19.9,77.18,117.78
2015-11-02 16:00:00,20.46,77.26,118.69
2015-11-03 16:00:00,20.45,78.23,117.66
2015-11-04 16:00:00,20.84,77.39,114.64
2015-11-05 16:00:00,20.66,78.15,116.23
2015-11-06 16:00:00,20.85,77.22,114.81
2015-11-09 16:00:00,20.69,76.23,114.26
2015-11-10 16:00:00,20.43,77.19,115.89
2015-11-11 16:00:00,20.39,74.87,114.54
2015-11-12 16:00:00,20.04,74.93,112.82
2015-11-13 16:00:00,19.82,71.89,111.41
2015-11-16 16:00:00,19.92,72.31,113.82
2015-11-17 16:00:00,19.95,72.91,114.39
2015-11-18 16:00:00,20.19,69.78,117.25
2015-11-19 16:00:00,20.51,70.55,110.63
2015-11-20 16:00:00,20.65,70.83,112.97
2015-11-23 16:00:00,20.68,72.28,112.16
2015-11-24 16:00:00,20.63,72.89,113.19
2015-11-25 16:00:00,20.9,73.16,114.41
2015-11-27 16:00:00,21.27,73.44,114.34
2015-11-30 16:00:00,21.2,72.5,112.71
2015-12-01 16:00:00,21.31,72.81,116.26
2015-12-02 16:00:00,21.36,71.93,117.64
2015-12-03 16:00:00,20.85,73.19,115.0
2015-12-04 16:00:00,21.05,73.9,117.74
2015-12-07 16:00:00,20.79,73.39,115.91
2015-12-08 16:00:00,20.99,72.66,115.88
2015-12-09 16:00:00,20.72,72.01,115.05
2015-12-10 16:00:00,21.07,72.37,116.21
2015-12-11 16:00:00,20.92,71.84,115.98
2015-12-14 16:00:00,20.21,72.72,115.85
2015-12-15 16:00:00,20.55,72.98,117.61
2015-12-16 16:00:00,20.78,73.8,118.83
2015-12-17 16:00:00,20.99,72.33,119.22
2015-12-18 16:00:00,20.93,71.37,115.82
2015-12-21 16:00:00,20.87,71.71,117.41
2015-12-22 16:00:00,20.96,72.61,117.44
2015-12-23 16:00:00,21.27,73.65,118.69
2015-12-24 16:00:00,20.88,73.17,118.34
2015-12-28 16:00:00,20.91,72.87,118.33
